dep,count
75,5591
13,3413
93,2735
94,2548
92,2520
69,2435
91,1457
06,1156
33,1026
59,959
77,958
31,914
95,854
67,821
83,816
35,814
49,811
78,784
64,773
34,770
37,733
29,730
76,703
38,677
44,653
974,621
74,615
45,605
20,579
17,579
56,556
62,549
42,523
973,519
54,518
80,514
68,504
50,491
71,473
30,472
51,472
01,454
22,441
14,439
27,424
72,406
87,402
57,394
60,384
66,375
11,368
85,366
25,347
971,341
10,327
26,315
976,280
73,279
63,277
86,267
02,261
972,256
03,253
84,249
05,241
21,239
89,234
07,219
41,217
04,204
28,203
12,201
24,198
18,191
47,190
79,190
58,190
19,189
61,186
88,178
16,174
82,174
81,171
40,167
43,145
32,142
53,142
52,130
08,124
36,120
39,116
65,108
70,103
15,99
55,92
09,90
48,76
46,75
23,61
90,58
